Exercise Name,Primary Muscle,Secondary Muscles,Exercise Type,Equipment,Difficulty,Movement Pattern,Superset Type,HIIT Compatible,Workout Type,Progression,Strength,Hypertrophy,Endurance
"Upright Row, Barbell",Traps,"Delts, Biceps",Compound,Barbell,Beginner,Upper Pull,Same Muscle,No,Upper Body Strength,Progressive Overload,6,10,15
"High Pull, Barbell",Traps,"Delts, Hamstrings",Compound,Barbell,Advanced,Upper Pull,Agonist-Antagonist,Yes,"Cardio, HIIT",Power Development,6,8,12
"Clean, Barbell",Hamstrings,"Glutes, Delts, Core, Traps",Compound,Barbell,Advanced,Full Body,Agonist-Antagonist,No,Full Body Strength,Progressive Overload,3,6,12
"Snatch, Barbell",Hamstrings,"Glutes, Delts, Core, Traps",Compound,Barbell,Advanced,Full Body,Agonist-Antagonist,No,Full Body Strength,Progressive Overload,3,6,12
"Thruster, Barbell",Quads,"Glutes, Delts, Triceps, Core",Compound,Barbell,Advanced,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT",Power Development,6,10,15
"Pendulum Squat, Barbell",Quads,"Glutes, Hamstrings",Compound,Barbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Belt Squat, Barbell",Quads,"Glutes, Hamstrings, Core",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Trap Bar Deadlift, Barbell",Hamstrings,"Glutes, Quads, Lower Back",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,5,8,15
"Paused Bench Press, Barbell",Chest,"Front Delts, Triceps",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Push Press, Barbell",Delts,"Triceps, Chest, Core",Compound,Barbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Box Squat, Barbell",Quads,"Glutes, Hamstrings, Core",Compound,Barbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Hack Squat, Barbell",Quads,"Glutes, Hamstrings",Compound,Barbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Bench Press, Dumbbell",Chest,"Front Delts, Triceps",Compound,Dumbbell,Beginner,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
"Incline Bench Press, Dumbbell",Chest,"Front Delts, Triceps",Compound,Dumbbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Decline Bench Press, Dumbbell",Chest,"Front Delts, Triceps",Compound,Dumbbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Fly, Dumbbell",Chest,Front Delts,Isolation,Dumbbell,Intermediate,Upper Push,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Pullover, Dumbbell",Chest,"Lats, Triceps",Isolation,Dumbbell,Intermediate,Upper Pull,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Bent-Over Row, Dumbbell",Lats,"Biceps, Core",Compound,Dumbbell,Beginner,Upper Pull,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
"Single-Arm Row, Dumbbell",Lats,"Biceps, Core, Obliques",Compound,Dumbbell,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Pendlay Row, Dumbbell",Lats,"Biceps, Core",Compound,Dumbbell,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Renegade Row, Dumbbell",Core,"Lats, Triceps, Shoulders",Compound,Dumbbell,Advanced,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT",Progressive Overload,6,10,15
"Bicep Curl, Dumbbell",Biceps,"Front Delts, Forearms",Isolation,Dumbbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Hammer Curl, Dumbbell",Biceps,Forearms,Isolation,Dumbbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Incline Curl, Dumbbell",Biceps,Front Delts,Isolation,Dumbbell,Intermediate,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Shoulder Press, Dumbbell",Delts,"Triceps, Chest, Core",Compound,Dumbbell,Beginner,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
"Single-Arm Shoulder Press, Dumbbell",Delts,"Triceps, Core, Obliques",Compound,Dumbbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Arnold Press, Dumbbell",Delts,"Triceps, Chest",Compound,Dumbbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Lateral Raise, Dumbbell",Delts,Traps,Isolation,Dumbbell,Beginner,Shoulder,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Front Raise, Dumbbell",Delts,Chest,Isolation,Dumbbell,Beginner,Shoulder,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Reverse Fly, Dumbbell",Rear Delts,Upper Back,Isolation,Dumbbell,Beginner,Upper Back,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Kickback, Dumbbell",Triceps,Shoulders,Isolation,Dumbbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Overhead Tricep Extension, Dumbbell",Triceps,"Shoulders, Chest",Isolation,Dumbbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
"Goblet Squat, Dumbbell",Quads,"Glutes, Core",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,6,10,15
"Front Squat, Dumbbell",Quads,"Glutes, Core, Upper Back",Compound,Dumbbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Lunge, Dumbbell",Quads,"Glutes, Hamstrings, Core",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Walking Lunge, Dumbbell",Quads,"Glutes, Hamstrings, Core",Compound,Dumbbell,Intermediate,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Progressive Overload,6,10,15
"Reverse Lunge, Dumbbell",Quads,"Glutes, Hamstrings, Core",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Bulgarian Split Squat, Dumbbell",Quads,"Glutes, Hamstrings, Core",Compound,Dumbbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Step-Up, Dumbbell",Quads,"Glutes, Hamstrings",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Romanian Deadlift, Dumbbell",Hamstrings,"Glutes, Lower Back",Compound,Dumbbell,Beginner,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,5,8,15
"Deadlift, Dumbbell",Hamstrings,"Glutes, Quads, Lower Back",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,5,8,15
"Single-Leg Deadlift, Dumbbell",Hamstrings,"Glutes, Core, Balance",Compound,Dumbbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,5,8,15
"Suitcase Deadlift, Dumbbell",Core,"Obliques, Lower Back, Glutes",Compound,Dumbbell,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,5,8,15
"Farmer Carry, Dumbbell",Core,"Traps, Forearms",Compound,Dumbbell,Beginner,Core,Same Muscle,No,Core,Progressive Overload,40-60 sec,40-60 sec,40-60 sec
"Thruster, Dumbbell",Quads,"Glutes, Delts, Triceps, Core",Compound,Dumbbell,Intermediate,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT",Power Development,6,10,15
"Jump Squat, Dumbbell",Quads,"Glutes, Core, Calves",Compound,Dumbbell,Advanced,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
"Swing, Kettlebell",Hamstrings,"Glutes, Core, Upper Back",Compound,Kettlebell,Intermediate,Lower Back,Agonist-Antagonist,Yes,"Lower Body Strength, Cardio, HIIT",Power Development,6,10,15
"Turkish Get-Up, Kettlebell",Core,"Shoulders, Chest, Triceps, Glutes",Compound,Kettlebell,Advanced,Full Body,Same Muscle,No,Full Body Strength,Progressive Overload,6,10,15
"Clean, Kettlebell",Hamstrings,"Glutes, Delts, Core",Compound,Kettlebell,Advanced,Full Body,Agonist-Antagonist,No,Full Body Strength,Progressive Overload,3,6,12
"Snatch, Kettlebell",Hamstrings,"Glutes, Delts, Core",Compound,Kettlebell,Advanced,Full Body,Agonist-Antagonist,No,Full Body Strength,Progressive Overload,3,6,12
"Goblet Squat, Kettlebell",Quads,"Glutes, Core",Compound,Kettlebell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Front Squat, Kettlebell",Quads,"Glutes, Core, Upper Back",Compound,Kettlebell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Overhead Press, Kettlebell",Delts,"Triceps, Chest, Core",Compound,Kettlebell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Lunge, Kettlebell",Quads,"Glutes, Hamstrings, Core",Compound,Kettlebell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Single-Arm Row, Kettlebell",Lats,"Biceps, Core, Obliques",Compound,Kettlebell,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Thruster, Kettlebell",Quads,"Glutes, Delts, Triceps, Core",Compound,Kettlebell,Intermediate,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT",Power Development,6,10,15
"Press, Landmine",Delts,"Triceps, Chest, Core",Compound,Landmine,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Squat, Landmine",Quads,"Glutes, Core, Upper Back",Compound,Landmine,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
"Rotation, Landmine",Core,"Obliques, Shoulders",Compound,Landmine,Intermediate,Core,Same Muscle,Yes,"Core, HIIT",Progressive Overload,6,10,15
"Row, Landmine",Lats,"Biceps, Core",Compound,Landmine,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
"Deadlift, Landmine",Hamstrings,"Glutes, Lower Back, Quads",Compound,Landmine,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,5,8,15
"Slam, Slam Ball",Core,"Delts, Hamstrings, Glutes",Compound,Slam Ball,Intermediate,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT, Cardio",Power Development,6,10,15
"Rotational Slam, Slam Ball",Core,"Obliques, Delts, Hamstrings",Compound,Slam Ball,Intermediate,Full Body,Same Muscle,Yes,"Core, HIIT, Cardio",Power Development,6,10,15
"Chest Throw, Slam Ball",Chest,"Triceps, Delts",Compound,Slam Ball,Intermediate,Upper Push,Agonist-Antagonist,Yes,"Upper Body Strength, HIIT",Power Development,6,10,15
"Squat, Slam Ball",Quads,"Glutes, Core",Compound,Slam Ball,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Push-Up,Chest,"Triceps, Front Delts",Compound,Bodyweight,Beginner,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
Pull-Up,Lats,"Biceps, Core, Delts",Compound,Bodyweight,Intermediate,Upper Pull,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
Chin-Up,Biceps,"Lats, Core, Delts",Compound,Bodyweight,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Dip,Triceps,"Chest, Front Delts",Compound,Bodyweight,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Plank,Core,"Shoulders, Chest, Triceps",Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,30-120 sec,30-120 sec,30-120 sec
Side Plank,Obliques,"Core, Shoulders",Compound,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,20-60 sec per side,20-60 sec per side,20-60 sec per side
Squat,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,6,10,15
Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Crunch,Core,Hip Flexors,Isolation,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Glute Bridge,Glutes,"Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Mountain Climber,Core,"Shoulders, Hip Flexors, Quads",Compound,Bodyweight,Intermediate,Full Body,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Burpee,Chest,"Triceps, Quads, Glutes, Core",Compound,Bodyweight,Advanced,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT, Cardio",Power Development,6,10,15
Jump Squat,Quads,"Glutes, Core, Calves",Compound,Bodyweight,Intermediate,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
High Knees,Hip Flexors,"Quads, Core, Glutes",Compound,Bodyweight,Beginner,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Jumping Jacks,Glutes,"Quads, Chest, Shoulders",Compound,Bodyweight,Beginner,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Skater Hops,Glutes,"Adductors, Abductors, Core",Compound,Bodyweight,Intermediate,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Bicycle Crunch,Core,"Obliques, Hip Flexors",Compound,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
V-Up,Core,"Hip Flexors, Chest",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Leg Raise,Core,Hip Flexors,Isolation,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Russian Twist,Core,"Obliques, Hip Flexors",Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Diamond Push-Up,Triceps,"Chest, Front Delts",Compound,Bodyweight,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Pike Push-Up,Delts,"Triceps, Core, Chest",Compound,Bodyweight,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Archer Push-Up,Chest,"Lats, Triceps",Compound,Bodyweight,Advanced,Upper Push,Agonist-Antagonist,Yes,Upper Body Strength,Progressive Overload,6,10,15
Decline Push-Up,Chest,"Front Delts, Triceps",Compound,Bodyweight,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Plyometric Push-Up,Chest,"Triceps, Front Delts",Compound,Bodyweight,Advanced,Upper Push,Agonist-Antagonist,Yes,"Upper Body Strength, HIIT",Power Development,6,10,15
Bear Crawl,Shoulders,"Triceps, Core, Quads",Compound,Bodyweight,Intermediate,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Inchworm,Core,"Chest, Shoulders, Hamstrings",Compound,Bodyweight,Intermediate,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT",Progressive Overload,6,10,15
Plank Jack,Core,"Shoulders, Quads, Glutes",Compound,Bodyweight,Intermediate,Core,Same Muscle,Yes,"Core, HIIT",Progressive Overload,6,10,15
Superman,Erector Spinae,"Glutes, Rear Delts",Compound,Bodyweight,Beginner,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Dead Bug,Core,Hip Flexors,Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Bird Dog,Core,"Glutes, Lower Back",Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Wall Sit,Quads,"Glutes, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,30-120 sec,30-120 sec,30-120 sec
Pistol Squat,Quads,"Glutes, Core, Hip Flexors",Compound,Bodyweight,Advanced,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Single-Leg Glute Bridge,Glutes,"Hamstrings, Core",Compound,Bodyweight,Intermediate,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Step-Up,Quads,"Glutes, Hamstrings",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Jump Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Advanced,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
Box Jump,Quads,"Glutes, Calves",Compound,Bodyweight,Advanced,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
Calf Raise,Calves,Core,Isolation,Bodyweight,Beginner,Lower Leg,Same Muscle,No,Lower Body Strength,Progressive Overload,8,12,15
Bench Dip,Triceps,"Chest, Front Delts",Compound,Bodyweight,Beginner,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Reverse Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Lateral Lunge,Quads,"Adductors, Abductors, Glutes",Compound,Bodyweight,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Sit-Up,Core,Hip Flexors,Isolation,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Walking Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Progressive Overload,6,10,15
Bulgarian Split Squat,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
L-Sit,Core,"Shoulders, Triceps, Hip Flexors",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,15-60 sec,15-60 sec,15-60 sec
Hollow Body Hold,Core,"Shoulders, Back",Compound,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,20-60 sec,20-60 sec,20-60 sec
Flutter Kicks,Core,Hip Flexors,Isolation,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,30-60 sec,30-60 sec,30-60 sec
Scissor Kicks,Core,Hip Flexors,Isolation,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Hanging Knee Raise,Core,"Hip Flexors, Chest",Isolation,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Tuck Jump,Quads,"Glutes, Hip Flexors, Calves",Compound,Bodyweight,Advanced,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
Burpee to Box Jump,Full Body,All,Compound,Bodyweight,Advanced,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT, Cardio",Power Development,6,10,15
Pogo Hop,Calves,"Quads, Core",Compound,Bodyweight,Beginner,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Butt Kicks,Hamstrings,"Glutes, Core",Compound,Bodyweight,Beginner,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Lateral Bound,Glutes,"Adductors, Abductors, Core",Compound,Bodyweight,Intermediate,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,6,10,15
Single-Leg Hop,Quads,"Glutes, Calves, Core",Compound,Bodyweight,Intermediate,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,6,10,15
Handstand Hold,Shoulders,"Core, Chest, Triceps",Compound,Bodyweight,Advanced,Upper Push,Same Muscle,No,Upper Body Strength,Progressive Overload,20-90 sec,20-90 sec,20-90 sec
Handstand Push-Up,Delts,"Triceps, Core, Chest",Compound,Bodyweight,Advanced,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Muscle-Up,Lats,"Triceps, Core, Chest",Compound,Bodyweight,Advanced,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Front Lever,Core,"Chest, Shoulders, Lats",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,10-60 sec,10-60 sec,10-60 sec
Back Lever,Core,"Back, Shoulders",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,10-60 sec,10-60 sec,10-60 sec
Dragon Flag,Core,"Chest, Shoulders",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
"Climb, Rope",Lats,"Grip, Core, Hamstrings",Compound,Bodyweight,Advanced,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT",Progressive Overload,1-3 climbs,1-3 climbs,1-3 climbs
Crab Walk,Triceps,"Shoulders, Core, Glutes",Compound,Bodyweight,Beginner,Upper Push,Agonist-Antagonist,Yes,"Upper Body Strength, HIIT",Progressive Overload,30-60 sec,30-60 sec,30-60 sec
Leopard Crawl,Shoulders,"Triceps, Core",Compound,Bodyweight,Advanced,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT",Progressive Overload,30-60 sec,30-60 sec,30-60 sec
Oblique Crunch,Obliques,Core,Isolation,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Rainbow Crunches,Core,Obliques,Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Woodchopper,Core,"Obliques, Delts",Compound,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
,,,,,,,,,,,,,
