Pose Name,Sanskrit,Primary Muscles,Secondary Muscles,Yoga Type,Hold Duration (seconds),Benefits,Level,Category,Session Type,Props Needed
Reclined Pigeon,Supta Kapotasana,"Hip External Rotators, Glutes","Hip Flexors, Lower Back, Hamstrings",Restorative Yoga,90,"Hip opening, glute stretch, relaxation",Beginner,Hip Opener,"Restorative Yoga, Yin Yoga",None
Supported Fish Pose,Matsyasana (Supported),"Chest, Hip Flexors","Delts, Back",Restorative Yoga,180,"Chest and hip flexor opening, stress relief",Beginner,Backbend,Restorative Yoga,"Bolster, Block"
Low Lunge,Anjaneyasana (low variation),"Hip Flexors, Glutes, Quads","Hamstrings, Core",Flexibility Yoga,60,"Hip flexor opening, leg strength",Beginner,Hip Opener,"Flexibility Yoga, Power Yoga",Block (optional)
Humble Warrior,Bhairavasana,"Shoulders, Chest, Hip Flexors","Lats, Back, Glutes",Power Yoga,45,"Shoulder and chest opening, hip flexibility",Intermediate,Standing,"Power Yoga, Flexibility",None
Gate Pose,Parighasana,"Obliques, Hip Abductors","Lats, Hamstrings, Shoulders",Power Yoga,45,"Side body stretch, hip opening, lateral core",Intermediate,Standing,"Power Yoga, Flexibility",Block (optional)
Camel Pose,Ustrasana,"Chest, Hip Flexors, Quads","Delts, Back, Glutes",Power Yoga,30,"Deep chest and hip flexor opening, spinal extension",Intermediate,Backbend,"Power Yoga, Flexibility",Block (optional)
Bow Pose,Dhanurasana,"Chest, Quads, Hip Flexors","Delts, Back",Power Yoga,30,"Chest, hip, and quad opening, backbend",Intermediate,Backbend,"Power Yoga, Full Body",None
Wheel Pose,Urdhva Mukha Svanasana (full),"Quads, Hip Flexors, Chest","Delts, Back, Core",Power Yoga,30,"Deep backbend, full body opening",Advanced,Backbend,"Power Yoga, Full Body",None
Seated Spinal Twist,Ardha Matsyendrasana,"Obliques, Erector Spinae","Glutes, Shoulders",Flexibility Yoga,60,"Spinal rotation, digestive aid",Beginner,Twist,"Flexibility Yoga, Yin Yoga",None
Plow Pose,Halasana,"Neck, Shoulders, Hamstrings","Back, Chest",Power Yoga,45,"Full inversion, shoulder and hamstring stretch",Advanced,Inversion,"Power Yoga, Full Body",Blanket (optional)
Fish Pose (Full),Matsyasana (Full),"Chest, Hip Flexors","Delts, Back, Shoulders",Power Yoga,45,"Deep chest and hip flexor opening, backbend",Intermediate,Backbend,"Power Yoga, Flexibility",None
Supine Figure 4,Supta Agnisthasana,"Glutes, Hip External Rotators","Hip Flexors, Lower Back",Yin Yoga,90,Deep glute and hip opening,Beginner,Hip Opener,"Yin Yoga, Restorative Yoga",None
Sleeping Swan,Eka Pada Rajakapotasana (Sleeping),"Hip External Rotators, Glutes","Hip Flexors, Lower Back, Hamstrings",Yin Yoga,120,Very deep hip opening,Intermediate,Hip Opener,"Yin Yoga, Restorative Yoga",Bolster (optional)
Dragon Pose,Utthan Pristhasana (Dragon),"Hip Flexors, Quads","Glutes, Hamstrings",Yin Yoga,90,Hip flexor and quad opening,Intermediate,Hip Opener,"Yin Yoga, Flexibility",Block (optional)
Seal Pose,Bhujangasana (Seal variation),"Chest, Hip Flexors","Delts, Back",Power Yoga,30,"Chest and hip flexor opening, backbend",Intermediate,Backbend,"Power Yoga, Flexibility",None
Scorpion Pose,Vrschikasana,"Core, Delts, Chest","Quads, Hip Flexors",Power Yoga,20,"Deep backbend, inversion, core strength",Advanced,Backbend,"Power Yoga, Core Strength",None
Peacock Pose,Pincha Mayurasana,"Core, Shoulders","Triceps, Back, Chest",Power Yoga,30,"Shoulder strength, core stability, inversion",Advanced,Arm Balance,"Power Yoga, Core Strength",None
Formidable Face Pose,Gandha Bherundasana,"Core, Shoulders, Neck","Back, Chest",Power Yoga,15,"Inversion, core strength",Advanced,Inversion,Power Yoga,None
