Exercise Name,Primary Muscle,Secondary Muscles,Exercise Type,Equipment,Difficulty,Movement Pattern,Superset Type,HIIT Compatible,Workout Type,Progression,Strength,Hypertrophy,Endurance
Dumbbell Hammer Curl,Biceps,Forearms,Isolation,Dumbbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Incline Curl,Biceps,Front Delts,Isolation,Dumbbell,Intermediate,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Shoulder Press,Delts,"Triceps, Chest, Core",Compound,Dumbbell,Beginner,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
Dumbbell Single-Arm Shoulder Press,Delts,"Triceps, Core, Obliques",Compound,Dumbbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Dumbbell Arnold Press,Delts,"Triceps, Chest",Compound,Dumbbell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Dumbbell Lateral Raise,Delts,Traps,Isolation,Dumbbell,Beginner,Shoulder,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Front Raise,Delts,Chest,Isolation,Dumbbell,Beginner,Shoulder,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Reverse Fly,Rear Delts,Upper Back,Isolation,Dumbbell,Beginner,Upper Back,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Kickback,Triceps,Shoulders,Isolation,Dumbbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Overhead Tricep Extension,Triceps,"Shoulders, Chest",Isolation,Dumbbell,Beginner,Arm,Same Muscle,No,Upper Body Strength,Progressive Overload,8,12,15
Dumbbell Goblet Squat,Quads,"Glutes, Core",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,6,10,15
Dumbbell Front Squat,Quads,"Glutes, Core, Upper Back",Compound,Dumbbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Dumbbell Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Dumbbell Walking Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Dumbbell,Intermediate,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Progressive Overload,6,10,15
Dumbbell Reverse Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Dumbbell Bulgarian Split Squat,Quads,"Glutes, Hamstrings, Core",Compound,Dumbbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Dumbbell Step-Up,Quads,"Glutes, Hamstrings",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Dumbbell Romanian Deadlift,Hamstrings,"Glutes, Lower Back",Compound,Dumbbell,Beginner,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,5,8,15
Dumbbell Deadlift,Hamstrings,"Glutes, Quads, Lower Back",Compound,Dumbbell,Beginner,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,5,8,15
Dumbbell Single-Leg Deadlift,Hamstrings,"Glutes, Core, Balance",Compound,Dumbbell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,5,8,15
Dumbbell Suitcase Deadlift,Core,"Obliques, Lower Back, Glutes",Compound,Dumbbell,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,5,8,15
Dumbbell Farmer Carry,Core,"Traps, Forearms",Compound,Dumbbell,Beginner,Core,Same Muscle,No,Core,Progressive Overload,40-60 sec,40-60 sec,40-60 sec
Dumbbell Thruster,Quads,"Glutes, Delts, Triceps, Core",Compound,Dumbbell,Intermediate,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT",Power Development,6,10,15
Dumbbell Jump Squat,Quads,"Glutes, Core, Calves",Compound,Dumbbell,Advanced,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
Kettlebell Swing,Hamstrings,"Glutes, Core, Upper Back",Compound,Kettlebell,Intermediate,Lower Back,Agonist-Antagonist,Yes,"Lower Body Strength, Cardio, HIIT",Power Development,6,10,15
Kettlebell Turkish Get-Up,Core,"Shoulders, Chest, Triceps, Glutes",Compound,Kettlebell,Advanced,Full Body,Same Muscle,No,Full Body Strength,Progressive Overload,6,10,15
Kettlebell Clean,Hamstrings,"Glutes, Delts, Core",Compound,Kettlebell,Advanced,Full Body,Agonist-Antagonist,No,Full Body Strength,Progressive Overload,3,6,12
Kettlebell Snatch,Hamstrings,"Glutes, Delts, Core",Compound,Kettlebell,Advanced,Full Body,Agonist-Antagonist,No,Full Body Strength,Progressive Overload,3,6,12
Kettlebell Goblet Squat,Quads,"Glutes, Core",Compound,Kettlebell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Kettlebell Front Squat,Quads,"Glutes, Core, Upper Back",Compound,Kettlebell,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Kettlebell Overhead Press,Delts,"Triceps, Chest, Core",Compound,Kettlebell,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Kettlebell Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Kettlebell,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Kettlebell Single-Arm Row,Lats,"Biceps, Core, Obliques",Compound,Kettlebell,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Kettlebell Thruster,Quads,"Glutes, Delts, Triceps, Core",Compound,Kettlebell,Intermediate,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT",Power Development,6,10,15
Landmine Press,Delts,"Triceps, Chest, Core",Compound,Landmine,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Landmine Squat,Quads,"Glutes, Core, Upper Back",Compound,Landmine,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Landmine Rotation,Core,"Obliques, Shoulders",Compound,Landmine,Intermediate,Core,Same Muscle,Yes,"Core, HIIT",Progressive Overload,6,10,15
Landmine Row,Lats,"Biceps, Core",Compound,Landmine,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Landmine Deadlift,Hamstrings,"Glutes, Lower Back, Quads",Compound,Landmine,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,5,8,15
Slam Ball Slam,Core,"Delts, Hamstrings, Glutes",Compound,Slam Ball,Intermediate,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT, Cardio",Power Development,6,10,15
Slam Ball Rotational Slam,Core,"Obliques, Delts, Hamstrings",Compound,Slam Ball,Intermediate,Full Body,Same Muscle,Yes,"Core, HIIT, Cardio",Power Development,6,10,15
Slam Ball Chest Throw,Chest,"Triceps, Delts",Compound,Slam Ball,Intermediate,Upper Push,Agonist-Antagonist,Yes,"Upper Body Strength, HIIT",Power Development,6,10,15
Slam Ball Squat,Quads,"Glutes, Core",Compound,Slam Ball,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Push-Up,Chest,"Triceps, Front Delts",Compound,Bodyweight,Beginner,Upper Push,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
Pull-Up,Lats,"Biceps, Core, Delts",Compound,Bodyweight,Intermediate,Upper Pull,Agonist-Antagonist,No,"Upper Body Strength, Full Body Strength",Progressive Overload,6,10,15
Chin-Up,Biceps,"Lats, Core, Delts",Compound,Bodyweight,Intermediate,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Dip,Triceps,"Chest, Front Delts",Compound,Bodyweight,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Plank,Core,"Shoulders, Chest, Triceps",Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,30-120 sec,30-120 sec,30-120 sec
Side Plank,Obliques,"Core, Shoulders",Compound,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,20-60 sec per side,20-60 sec per side,20-60 sec per side
Squat,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,"Lower Body Strength, Full Body Strength",Progressive Overload,6,10,15
Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Crunch,Core,Hip Flexors,Isolation,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Glute Bridge,Glutes,"Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Mountain Climber,Core,"Shoulders, Hip Flexors, Quads",Compound,Bodyweight,Intermediate,Full Body,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Burpee,Chest,"Triceps, Quads, Glutes, Core",Compound,Bodyweight,Advanced,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT, Cardio",Power Development,6,10,15
Jump Squat,Quads,"Glutes, Core, Calves",Compound,Bodyweight,Intermediate,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
High Knees,Hip Flexors,"Quads, Core, Glutes",Compound,Bodyweight,Beginner,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Jumping Jacks,Glutes,"Quads, Chest, Shoulders",Compound,Bodyweight,Beginner,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Skater Hops,Glutes,"Adductors, Abductors, Core",Compound,Bodyweight,Intermediate,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Bicycle Crunch,Core,"Obliques, Hip Flexors",Compound,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
V-Up,Core,"Hip Flexors, Chest",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Leg Raise,Core,Hip Flexors,Isolation,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Russian Twist,Core,"Obliques, Hip Flexors",Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Diamond Push-Up,Triceps,"Chest, Front Delts",Compound,Bodyweight,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Pike Push-Up,Delts,"Triceps, Core, Chest",Compound,Bodyweight,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Archer Push-Up,Chest,"Lats, Triceps",Compound,Bodyweight,Advanced,Upper Push,Agonist-Antagonist,Yes,Upper Body Strength,Progressive Overload,6,10,15
Decline Push-Up,Chest,"Front Delts, Triceps",Compound,Bodyweight,Intermediate,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Plyometric Push-Up,Chest,"Triceps, Front Delts",Compound,Bodyweight,Advanced,Upper Push,Agonist-Antagonist,Yes,"Upper Body Strength, HIIT",Power Development,6,10,15
Bear Crawl,Shoulders,"Triceps, Core, Quads",Compound,Bodyweight,Intermediate,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Inchworm,Core,"Chest, Shoulders, Hamstrings",Compound,Bodyweight,Intermediate,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT",Progressive Overload,6,10,15
Plank Jack,Core,"Shoulders, Quads, Glutes",Compound,Bodyweight,Intermediate,Core,Same Muscle,Yes,"Core, HIIT",Progressive Overload,6,10,15
Superman,Erector Spinae,"Glutes, Rear Delts",Compound,Bodyweight,Beginner,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Dead Bug,Core,Hip Flexors,Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Bird Dog,Core,"Glutes, Lower Back",Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Wall Sit,Quads,"Glutes, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,30-120 sec,30-120 sec,30-120 sec
Pistol Squat,Quads,"Glutes, Core, Hip Flexors",Compound,Bodyweight,Advanced,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Single-Leg Glute Bridge,Glutes,"Hamstrings, Core",Compound,Bodyweight,Intermediate,Lower Back,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Step-Up,Quads,"Glutes, Hamstrings",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Jump Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Advanced,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
Box Jump,Quads,"Glutes, Calves",Compound,Bodyweight,Advanced,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
Calf Raise,Calves,Core,Isolation,Bodyweight,Beginner,Lower Leg,Same Muscle,No,Lower Body Strength,Progressive Overload,8,12,15
Bench Dip,Triceps,"Chest, Front Delts",Compound,Bodyweight,Beginner,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Reverse Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Lateral Lunge,Quads,"Adductors, Abductors, Glutes",Compound,Bodyweight,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
Sit-Up,Core,Hip Flexors,Isolation,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Walking Lunge,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Beginner,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Progressive Overload,6,10,15
Bulgarian Split Squat,Quads,"Glutes, Hamstrings, Core",Compound,Bodyweight,Intermediate,Lower Leg,Agonist-Antagonist,No,Lower Body Strength,Progressive Overload,6,10,15
L-Sit,Core,"Shoulders, Triceps, Hip Flexors",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,15-60 sec,15-60 sec,15-60 sec
Hollow Body Hold,Core,"Shoulders, Back",Compound,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,20-60 sec,20-60 sec,20-60 sec
Flutter Kicks,Core,Hip Flexors,Isolation,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,30-60 sec,30-60 sec,30-60 sec
Scissor Kicks,Core,Hip Flexors,Isolation,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Hanging Knee Raise,Core,"Hip Flexors, Chest",Isolation,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Tuck Jump,Quads,"Glutes, Hip Flexors, Calves",Compound,Bodyweight,Advanced,Lower Leg,Agonist-Antagonist,Yes,"Lower Body Strength, HIIT",Power Development,6,10,15
Burpee to Box Jump,Full Body,All,Compound,Bodyweight,Advanced,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT, Cardio",Power Development,6,10,15
Pogo Hop,Calves,"Quads, Core",Compound,Bodyweight,Beginner,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Butt Kicks,Hamstrings,"Glutes, Core",Compound,Bodyweight,Beginner,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,30-60 sec,30-60 sec,30-60 sec
Lateral Bound,Glutes,"Adductors, Abductors, Core",Compound,Bodyweight,Intermediate,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,6,10,15
Single-Leg Hop,Quads,"Glutes, Calves, Core",Compound,Bodyweight,Intermediate,Cardio,Same Muscle,Yes,"Cardio, HIIT",Power Development,6,10,15
Handstand Hold,Shoulders,"Core, Chest, Triceps",Compound,Bodyweight,Advanced,Upper Push,Same Muscle,No,Upper Body Strength,Progressive Overload,20-90 sec,20-90 sec,20-90 sec
Handstand Push-Up,Delts,"Triceps, Core, Chest",Compound,Bodyweight,Advanced,Upper Push,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Muscle-Up,Lats,"Triceps, Core, Chest",Compound,Bodyweight,Advanced,Upper Pull,Agonist-Antagonist,No,Upper Body Strength,Progressive Overload,6,10,15
Front Lever,Core,"Chest, Shoulders, Lats",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,10-60 sec,10-60 sec,10-60 sec
Back Lever,Core,"Back, Shoulders",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,10-60 sec,10-60 sec,10-60 sec
Dragon Flag,Core,"Chest, Shoulders",Compound,Bodyweight,Advanced,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Rope Climb,Lats,"Grip, Core, Hamstrings",Compound,Bodyweight,Advanced,Full Body,Agonist-Antagonist,Yes,"Full Body Strength, HIIT",Progressive Overload,1-3 climbs,1-3 climbs,1-3 climbs
Crab Walk,Triceps,"Shoulders, Core, Glutes",Compound,Bodyweight,Beginner,Upper Push,Agonist-Antagonist,Yes,"Upper Body Strength, HIIT",Progressive Overload,30-60 sec,30-60 sec,30-60 sec
Leopard Crawl,Shoulders,"Triceps, Core",Compound,Bodyweight,Advanced,Full Body,Same Muscle,Yes,"Full Body Strength, HIIT",Progressive Overload,30-60 sec,30-60 sec,30-60 sec
Oblique Crunch,Obliques,Core,Isolation,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,8,12,15
Rainbow Crunches,Core,Obliques,Compound,Bodyweight,Beginner,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
Woodchopper,Core,"Obliques, Delts",Compound,Bodyweight,Intermediate,Core,Same Muscle,No,Core,Progressive Overload,6,10,15
