Task,Timing,Relationship_Status,Holiday,MH,COMM,MEDIA,NATURE,SEEK,MAINT,GROW,NEW,PHYS,CREATE,LEARN,VOLUNT
Organize a skill-share or knowledge-sharing session with friends,Weekly,All,,0,1,0,0,0,0,0,0,0,0,1,0
Host a phone or video call with distant friends or family,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Invite a friend to try a new restaurant or café,Weekly,All,,0,1,0,0,0,0,0,1,0,0,0,0
Join a professional networking group or meetup,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
"Attend a workshop, class, or event with friends or family",Weekly,All,,0,1,0,0,0,0,0,0,0,0,1,0
Create a community chat group or event planning forum,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
Have a meaningful one-on-one conversation over coffee or meal,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,0
Update or refresh your online dating profile,Daily,Single,,0,0,0,0,1,0,0,0,0,0,0,0
Browse dating apps with intention and genuine interest,Daily,Single,,0,0,0,0,1,0,0,0,0,0,0,0
Send a thoughtful message to someone new on a dating app,Daily,Single,,0,0,0,0,1,0,0,0,0,0,0,0
Write a genuine response to a match or connection,Daily,Single,,0,1,0,0,1,0,0,0,0,0,0,0
Reflect on qualities you want in a partner and community,Daily,Single,,0,0,0,0,1,0,0,0,0,0,0,0
Attend a social event where you might meet people,Daily,Single,,0,1,0,0,1,0,0,0,0,0,0,0
Compliment or show interest in someone you're attracted to,Daily,Single,,0,0,0,0,1,0,0,0,0,0,0,0
Work on your confidence and self-presentation,Daily,Single,,1,0,0,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Practice vulnerability in conversations with new people,Daily,Single,,1,0,0,0,1,0,0,0,0,0,0,0
Schedule or go on a first date,Weekly,Single,,0,0,0,0,1,0,0,0,0,0,0,0
Plan a follow-up date with someone you like,Weekly,Single,,0,0,0,0,1,0,0,0,0,0,0,0
"Attend a speed dating, singles event, or mixer",Weekly,Single,,0,1,0,0,1,0,0,0,0,0,0,0
Join a social or hobby group where you can meet people,Weekly,Single,,0,1,0,0,1,0,0,0,0,0,0,0
Volunteer or attend a community event to expand your social circle,Weekly,Single,,0,1,0,0,1,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,
Get feedback on your dating profile from a trusted friend,Weekly,Single,,0,1,0,0,1,0,0,0,0,0,0,0
Attend a party or social gathering with friends,Weekly,Single,,0,1,0,0,1,0,0,0,0,0,0,0
Go out to a venue where you might meet people naturally,Weekly,Single,,0,0,0,0,1,0,0,0,0,0,0,0
Join a group activity or class to meet people with similar interests,Weekly,Single,,0,1,0,0,1,0,0,0,0,0,0,0
Send your partner a loving or appreciative message,Daily,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Give your partner a genuine compliment,Daily,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Ask your partner about their day and listen deeply,Daily,In a Relationship,,0,1,0,0,0,1,0,0,0,0,0,0
"Show physical affection (hug, kiss, hand-hold)",Daily,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Express gratitude for something your partner did,Daily,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Do a small act of kindness for your partner,Daily,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Make eye contact and be fully present with your partner,Daily,In a Relationship,,0,1,0,0,0,1,0,0,0,0,0,0
Say 'I love you' or reaffirm your connection,Daily,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Cook a meal together or for your partner,Daily,In a Relationship,,0,1,0,0,0,1,0,0,0,0,0,0
Share a laugh or funny moment together,Daily,In a Relationship,,0,1,0,0,0,1,0,0,0,0,0,0
Schedule a dedicated date night with your partner,Weekly,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Have a deep conversation about feelings and goals,Weekly,In a Relationship,,0,1,0,0,0,1,0,0,0,0,0,0
Try a new experience or activity together,Weekly,In a Relationship,,0,0,0,0,0,1,0,1,0,0,0,0
Plan a weekend getaway or day trip,Weekly,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Give each other a massage or quality physical time,Weekly,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Celebrate each other's wins and accomplishments,Weekly,In a Relationship,,0,1,0,0,0,1,0,0,0,0,0,0
Watch a movie or show you both enjoy together,Weekly,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Share a meal without distractions and connect,Weekly,In a Relationship,,0,1,0,0,0,1,0,0,0,0,0,0
Create a shared bucket list or future plans together,Weekly,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Write a love letter or heartfelt note to your partner,Weekly,In a Relationship,,0,0,0,0,0,1,0,0,0,0,0,0
Practice gratitude - write down 3 things you're grateful for,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Meditate or practice mindfulness for 5-10 minutes,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Practice deep breathing exercises,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Write in your journal about your thoughts and feelings,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Practice positive affirmations or self-talk,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Give yourself permission to rest without guilt,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Practice self-compassion when facing a setback,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Identify one personal strength you possess,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Spend 5 minutes in quiet reflection or stillness,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Say something kind to yourself out loud,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Light a candle and create a calm environment,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Practice progressive muscle relaxation,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Set a meaningful intention for the day,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Acknowledge and accept your emotions without judgment,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Take a mental health check-in with yourself,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Limit news or negative content intake,Daily,All,,1,0,1,0,0,0,0,0,0,0,0,0
Practice forgiveness toward yourself,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Write down one thing that went well today,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Ground yourself using the 5 senses technique,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Take a warm shower or bath for comfort,Daily,All,,1,0,0,0,0,0,0,0,0,0,0,0
Attend therapy or counseling session,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Practice yoga or tai chi,Weekly,All,,1,0,0,0,0,0,0,0,1,0,0,0
Take a relaxing bath with essential oils or music,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Get a massage or practice self-massage,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Create an at-home spa day,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Organize and declutter your personal space,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Declutter a significant area of your home,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Reflect on the week and journal lessons learned,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Write letters to process difficult emotions,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Set healthy boundaries with demanding people,Weekly,All,,1,0,0,0,0,0,0,0,0,0,0,0
Read a chapter or section of a book,Daily,All,,0,0,0,0,0,0,1,0,0,0,0,0
Learn one new thing or skill,Daily,All,,0,0,0,0,0,0,1,0,0,0,1,0
Listen to an educational podcast or audiobook,Daily,All,,0,0,0,0,0,0,1,0,0,0,1,0
Practice a skill you're actively developing,Daily,All,,0,0,0,0,0,0,1,0,0,0,0,0
Reflect on a lesson or growth moment from today,Daily,All,,0,0,0,0,0,0,1,0,0,0,0,0
Work on a personal project or goal,Daily,All,,0,0,0,0,0,0,1,0,0,0,0,0
Practice a language for 15 minutes,Daily,All,,0,0,0,0,0,0,1,0,0,0,1,0
Identify an area where you want to improve,Daily,All,,0,0,0,0,0,0,1,0,0,0,0,0
Set a small daily goal and work toward it,Daily,All,,0,0,0,0,0,0,1,0,0,0,0,0
Practice positive thinking about a challenge,Daily,All,,1,0,0,0,0,0,1,0,0,0,0,0
Take an online course or class,Weekly,All,,0,0,0,0,0,0,1,0,0,0,1,0
Read a challenging or thought-provoking book,Weekly,All,,0,0,0,0,0,0,1,0,0,0,1,0
"Attend a workshop, seminar, or webinar",Weekly,All,,0,0,0,0,0,0,1,0,0,0,1,0
Start learning a new skill or hobby,Weekly,All,,0,0,0,0,0,0,1,1,0,0,1,0
Create a vision board for your goals,Weekly,All,,0,0,0,0,0,0,1,0,0,0,0,0
Review your goals and track progress,Weekly,All,,0,0,0,0,0,0,1,0,0,0,0,0
Seek mentorship or advice from someone you admire,Weekly,All,,0,1,0,0,0,0,1,0,0,0,0,0
Practice public speaking or presentation skills,Weekly,All,,0,0,0,0,0,0,1,0,0,0,0,0
Join a professional or personal development group,Weekly,All,,0,1,0,0,0,0,1,0,0,0,0,0
Mentor someone or teach a skill to others,Weekly,All,,0,1,0,0,0,0,1,0,0,0,0,0
Do 10 minutes of stretching or yoga,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Drink 8 glasses of water throughout the day,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Take a 10-minute walk,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Do light cardio or movement,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Practice good posture throughout the day,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Eat a nutritious meal or snack,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Get 7-9 hours of quality sleep,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Do 10 push-ups or bodyweight exercises,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Stretch your neck and shoulders,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Practice proper breathing techniques,Daily,All,,0,0,0,0,0,0,0,0,1,0,0,0
Do a HIIT or cardio workout,Weekly,All,,0,0,0,0,0,0,0,0,1,0,0,0
"Go for a run, bike ride, or swim",Weekly,All,,0,0,0,0,0,0,0,0,1,0,0,0
Do a strength training session,Weekly,All,,0,0,0,0,0,0,0,0,1,0,0,0
Attend a fitness class or gym session,Weekly,All,,0,0,0,0,0,0,0,0,1,0,0,0
Meal prep for the week,Weekly,All,,0,0,0,0,0,0,0,0,1,0,0,0
Practice a sport or recreational activity,Weekly,All,,0,0,0,0,0,0,0,0,1,0,0,0
Do a flexibility or mobility workout,Weekly,All,,0,0,0,0,0,0,0,0,1,0,0,0
Schedule a health checkup or dental visit,Weekly,All,,0,0,0,0,0,0,0,0,1,0,0,0
Try a new wellness practice,Weekly,All,,0,0,0,0,0,0,0,1,1,0,0,0
Do a longer nature walk or outdoor activity,Weekly,All,,0,0,0,1,0,0,0,0,1,0,0,0
Take a 10-minute walk outside,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Notice and appreciate something in nature,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Open your window and breathe fresh air,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Water your plants or tend your garden,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Watch the sunrise or sunset,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Take a barefoot walk in grass or soil,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Listen to birds singing or nature sounds,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Take a photo of something beautiful in nature,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
"Identify a tree, flower, or plant near you",Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Eat a meal outside if possible,Daily,All,,0,0,0,1,0,0,0,0,0,0,0,0
Go on a nature hike,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,0
Visit a park or green space,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,0
Go to a botanical garden or arboretum,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,0
Volunteer for environmental conservation,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,1
Spend time gardening or planting,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,0
Go camping or spend the night outdoors,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,0
Take a nature photography walk,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,0
"Go fishing, kayaking, or canoeing",Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,0
Explore a local nature trail or forest,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,0
Join a naturalist or outdoor club,Weekly,All,,0,1,0,1,0,0,0,0,0,0,0,0
"Draw, doodle, or sketch something",Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
"Write poetry, lyrics, or creative writing",Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Play a musical instrument,Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Take creative or artistic photos,Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Make or edit a short video,Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Craft or make something by hand,Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Paint or color something,Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Create digital art or graphic design,Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Write in a creative or expressive way,Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Work on a creative side project,Daily,All,,0,0,0,0,0,0,0,0,0,1,0,0
Attend an art class or creative workshop,Weekly,All,,0,0,0,0,0,0,0,0,0,1,1,0
Visit an art gallery or museum,Weekly,All,,0,0,0,0,0,0,0,0,0,1,0,0
Create a mixed media project,Weekly,All,,0,0,0,0,0,0,0,0,0,1,0,0
Share your creative work with others,Weekly,All,,0,1,0,0,0,0,0,0,0,1,0,0
Collaborate on a creative project with someone,Weekly,All,,0,1,0,0,0,0,0,0,0,1,0,0
Attend a poetry reading or open mic night,Weekly,All,,0,1,0,0,0,0,0,0,0,1,0,0
Create handmade gifts for others,Weekly,All,,0,0,0,0,0,0,0,0,0,1,0,0
Join a creative community or group,Weekly,All,,0,1,0,0,0,0,0,0,0,1,0,0
Explore a new creative medium,Weekly,All,,0,0,0,0,0,0,0,1,0,1,0,0
Attend a performance or show,Weekly,All,,0,0,0,0,0,0,0,0,0,1,0,0
Read an article on a topic of interest,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Watch an educational video,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Study a subject you're interested in,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Research something that fascinates you,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Take notes on something you learned,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Watch a documentary,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Read the news and stay informed,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Teach someone something you know,Daily,All,,0,1,0,0,0,0,0,0,0,0,1,0
Explore a new topic through research,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Listen to an educational podcast,Daily,All,,0,0,0,0,0,0,0,0,0,0,1,0
Enroll in an online course,Weekly,All,,0,0,0,0,0,0,0,0,0,0,1,0
Attend a lecture or webinar,Weekly,All,,0,0,0,0,0,0,0,0,0,0,1,0
Join a discussion group or book club,Weekly,All,,0,1,0,0,0,0,0,0,0,0,1,0
Visit the library and research,Weekly,All,,0,0,0,0,0,0,0,0,0,0,1,0
Read multiple books or articles,Weekly,All,,0,0,0,0,0,0,0,0,0,0,1,0
Create study notes or flashcards,Weekly,All,,0,0,0,0,0,0,0,0,0,0,1,0
Interview an expert in a field,Weekly,All,,0,1,0,0,0,0,0,0,0,0,1,0
Join a learning community online,Weekly,All,,0,1,0,0,0,0,0,0,0,0,1,0
Complete a certification or training,Weekly,All,,0,0,0,0,0,0,0,0,0,0,1,0
Attend a workshop in your field,Weekly,All,,0,0,0,0,0,0,0,0,0,0,1,0
Help a friend or neighbor with a task,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,1
Perform a random act of kindness,Daily,All,,0,0,0,0,0,0,0,0,0,0,0,1
Donate items to charity,Daily,All,,0,0,0,0,0,0,0,0,0,0,0,1
Offer emotional support to someone,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,1
Give genuine compliments freely,Daily,All,,0,0,0,0,0,0,0,0,0,0,0,1
Help with household chores for someone,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,1
Send a care package or thoughtful gift,Daily,All,,0,0,0,0,0,0,0,0,0,0,0,1
Offer your time or skills to someone,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,1
Donate money to a cause you believe in,Daily,All,,0,0,0,0,0,0,0,0,0,0,0,1
Mentor or guide someone,Daily,All,,0,1,0,0,0,0,0,0,0,0,0,1
Volunteer at a local organization,Weekly,All,,0,0,0,0,0,0,0,0,0,0,0,1
Volunteer at a food bank or soup kitchen,Weekly,All,,0,0,0,0,0,0,0,0,0,0,0,1
Volunteer for environmental conservation,Weekly,All,,0,0,0,1,0,0,0,0,0,0,0,1
Mentor a young person or colleague,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,1
Volunteer at an animal rescue or shelter,Weekly,All,,0,0,0,0,0,0,0,0,0,0,0,1
Participate in community cleanup,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,1
Volunteer for a cause you care about,Weekly,All,,0,0,0,0,0,0,0,0,0,0,0,1
Help organize a fundraiser or event,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,1
Volunteer with vulnerable or senior populations,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,1
Join a volunteer board or committee,Weekly,All,,0,1,0,0,0,0,0,0,0,0,0,1
Try a new food or cuisine,Daily,All,,0,0,0,0,0,0,0,1,0,0,0,0
Take a different route to work or home,Daily,All,,0,0,0,0,0,0,0,1,0,0,0,0
Listen to a new genre of music,Daily,All,,0,0,0,0,0,0,0,1,0,0,0,0
Try a new recipe or cooking method,Daily,All,,0,0,0,0,0,0,0,1,0,0,0,0
Wear something you wouldn't normally wear,Daily,All,,0,0,0,0,0,0,0,1,0,0,0,0
Visit a new store or café,Daily,All,,0,0,0,0,0,0,0,1,0,0,0,0
Try a new exercise or movement practice,Daily,All,,0,0,0,0,0,0,0,1,1,0,0,0
Try a new hairstyle or look,Daily,All,,0,0,0,0,0,0,0,1,0,0,0,0
Use a new app or technology tool,Daily,All,,0,0,0,0,0,0,0,1,0,0,0,0
Try a new hobby or craft,Daily,All,,0,0,0,0,0,0,0,1,0,1,0,0
Take a class in something you've never done,Weekly,All,,0,0,0,0,0,0,0,1,0,0,1,0
Try a new restaurant or food truck,Weekly,All,,0,0,0,0,0,0,0,1,0,0,0,0
Explore a new neighborhood or area,Weekly,All,,0,0,0,0,0,0,0,1,0,0,0,0
Attend an event in an unfamiliar genre,Weekly,All,,0,0,0,0,0,0,0,1,0,0,0,0
Try a new sport or physical activity,Weekly,All,,0,0,0,0,0,0,0,1,1,0,0,0
Visit a museum or gallery you've never been to,Weekly,All,,0,0,0,0,0,0,0,1,0,0,0,0
Try a new form of art or creative expression,Weekly,All,,0,0,0,0,0,0,0,1,0,1,0,0
Go to an event or venue in a different part of town,Weekly,All,,0,1,0,0,0,0,0,1,0,0,0,0
Try something on your bucket list,Weekly,All,,0,0,0,0,0,0,0,1,0,0,0,0
Volunteer for a new type of cause,Weekly,All,,0,0,0,0,0,0,0,1,0,0,0,1
Turn off notifications for social media,Daily,All,,1,0,1,0,0,0,0,0,0,0,0,0
Take a one-hour social media break,Daily,All,,1,0,1,0,0,0,0,0,0,0,0,0
Leave your phone in another room for 30 minutes,Daily,All,,1,0,1,0,0,0,0,0,0,0,0,0
Avoid checking email first thing in the morning,Daily,All,,1,0,1,0,0,0,0,0,0,0,0,0
Practice presence during meals without devices,Daily,All,,1,0,1,0,0,0,0,0,0,0,0,0
Limit screen time after 8 PM,Daily,All,,1,0,1,0,0,0,0,0,0,0,0,0
Read a physical book instead of scrolling,Daily,All,,0,0,1,0,0,0,0,0,0,0,0,0
Unfollow accounts that trigger negative feelings,Daily,All,,1,0,1,0,0,0,0,0,0,0,0,0
Have a conversation without checking your phone,Daily,All,,0,1,1,0,0,0,0,0,0,0,0,0
Watch a sunset without recording it,Daily,All,,0,0,1,0,0,0,0,0,0,0,0,0
Disable social media and streaming apps for a full day,Weekly,All,,1,0,1,0,0,0,0,0,0,0,0,0
Have a phone-free meal with friends or family,Weekly,All,,0,1,1,0,0,0,0,0,0,0,0,0
Take a full digital detox day,Weekly,All,,1,0,1,0,0,0,0,0,0,0,0,0
Create a 'no screens' bedroom policy this week,Weekly,All,,1,0,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Replace scrolling time with a meaningful hobby,Weekly,All,,0,0,1,0,0,0,0,0,0,1,0,0
Organize a phone-free game night,Weekly,All,,0,1,1,0,0,0,0,0,0,0,0,0
Stop using your phone while commuting,Weekly,All,,1,0,1,0,0,0,0,0,0,0,0,0
Remove social media apps you don't need,Weekly,All,,1,0,1,0,0,0,0,0,0,0,0,0
Create a designated screen-free evening time,Weekly,All,,0,1,1,0,0,0,0,0,0,0,0,0
Attend or host a Canada Day community celebration,Weekly,All,Canada Day (July 1),0,1,0,0,0,0,0,0,0,0,0,0
Participate in Canada Day festivities with friends or family,Weekly,All,Canada Day (July 1),0,1,0,0,0,0,0,0,0,0,0,0
Host or attend a Thanksgiving dinner gathering,Weekly,All,Thanksgiving (2nd Monday October),0,1,0,0,0,0,0,0,0,0,0,0
Share gratitude and appreciation with family for Thanksgiving,Daily,All,Thanksgiving (2nd Monday October),1,1,0,0,0,0,0,0,0,0,0,0
Attend a Halloween social event or party with friends,Weekly,All,Halloween (October 31),0,1,0,0,1,0,0,0,0,0,0,0
Send holiday cards to friends and family,Weekly,All,Christmas (December 25),0,1,0,0,0,0,0,0,0,0,0,0
Volunteer at a shelter or food bank during Christmas,Weekly,All,Christmas (December 25),0,1,0,0,0,0,0,0,0,0,0,1
Attend a New Year's Eve celebration with friends,Weekly,All,New Year's Eve (December 31),0,1,0,0,1,0,0,0,0,0,0,0
Reflect on the past year and set new community goals,Weekly,All,New Year's Eve (December 31),0,1,0,0,0,0,1,0,0,0,0,0
